x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,Y
0.05,20.04,0.05,1.27,0.08,0.35,0.09,0.05,1.62,0.98,0.07,0.008,0.107,4.09,1.67,0.007,10.62,0.05,0.71,0.09,0.08,0.02,0
0.09,26.4,0.03,0.92,0.09,0.57,0.09,0,0.36,0.03,0.23,0.004,0.055,5.22,1.96,0,11.32,0.09,0.25,0.09,0.01,0.05,0
0.08,23.62,0.06,1.16,0.02,0.4,0.05,0.06,1.53,0.33,0.8,0.8,0.164,6.92,1.53,0.006,0.35,0.08,0.88,0.05,0.01,0.06,0
0.01,0.05,0.08,0.02,0.04,0.09,0.04,0.05,0.69,1.35,0.04,0,0.139,1.1,1.64,0.006,2.86,0.01,1,0.04,0.04,0.07,0
0.06,0.01,0.06,0.86,0.09,0.02,0.03,0.05,1.05,0.28,0.7,0.7,0.096,18.41,1.42,0.007,5.51,0.06,3.9,0.03,0.04,0.08,0
0.1,3.59,0.03,0.24,0.05,0.26,0.09,0.04,0.81,1.43,0.72,0.72,0.037,4.41,1.26,0.003,0.43,0.1,0.01,0.09,0.08,0,0
0.1,9.43,0.06,0.66,0.04,0.07,0.06,0.07,0.9,1.24,0.6,0.6,0.061,0.37,1.16,0.007,3.72,0.1,0.05,0.06,0,0.03,0
0.06,19.63,0.03,0.99,0.07,0.43,0.07,0.06,1.26,1.27,0.23,0.008,0.176,14.58,1.1,0,6.27,0.06,5.23,0.07,0.06,0.04,0
0.09,11.68,0.07,0.1,0.09,0.28,0.05,0.07,1.73,0.8,0.93,0.93,0.174,16.88,1.45,0.006,3.55,0.09,2.72,0.05,0.01,0.07,0
0.02,16.77,0.03,2.21,0.09,0.04,0.07,0.09,1.72,0.73,0.81,0.81,0.155,10.32,1.86,0.001,0.04,0.02,0.13,0.07,0.01,0.09,0
0.04,26.48,0.07,0.82,0.07,0.39,0.01,0.05,1.92,1.44,0.13,0.002,0.154,2.17,1.87,0.007,3.63,0.04,0.55,0.01,0.03,0.05,0
0.03,24.41,0.01,0.44,0.09,0.02,0.01,0.02,1.92,1.42,0.67,0.67,0.194,0.62,1.34,0.004,1.08,0.03,0.21,0.01,0.05,0.09,0
0.03,11.99,0,1.87,0.08,0.04,0.02,0.05,0.38,0.27,0.08,0.006,0.131,12.32,1.77,0.001,2.11,0.03,5.3,0.02,0.05,0.05,0
0.05,0.45,0.05,1.81,0.05,0.01,0.1,0.02,1.31,0.63,0.44,0.003,0.139,15.88,1.83,0.002,6.57,0.05,0.56,0.1,0.07,0.08,0
0.06,5.67,0.04,0.14,0.02,0.22,0.07,0.07,0.04,1.37,0.84,0.84,0.032,4.38,1.48,0.007,0.2,0.06,0.97,0.07,0.02,0,0
0.03,26.47,0,0.03,0.09,0.1,0.05,0.01,1.76,1.44,0.95,0.95,0.162,4.69,1.66,0.009,2.63,0.03,1.53,0.05,0.08,0.05,0
0.03,7.29,0.05,1.38,0.07,0.04,0.01,0.06,1.97,0.08,0.69,0.69,0.184,7.92,1.74,0.003,2.08,0.03,1.23,0.01,0.04,0.07,0
0.05,0.56,0.05,0.56,0.09,0.09,0.03,0.1,0.85,1.35,0.05,0.008,0.059,6.74,1.4,0.003,3.07,0.05,0.42,0.03,0,0.03,0
0.08,6.07,0.01,1.53,0.08,0.61,0.07,0.07,0.3,1.02,0.88,0.88,0.032,10.94,1.64,0.004,2.47,0.08,0.09,0.07,0.1,0.02,0
0.06,21.95,0.09,0.77,0.02,0.05,0.07,0.03,0.16,0.12,0.63,0.63,0.026,4.85,1.85,0.007,2.42,0.06,1.35,0.07,0.04,0,0
0.01,9.36,0.05,0.63,0.09,0.02,0.1,0.04,1.17,0.9,0.95,0.95,0.014,17.66,1.04,0.007,0.34,0.01,0.5,0.1,0.08,0.04,0
0.05,10.54,0.08,0.13,0.06,0.19,0.01,0.08,0.54,0.72,0.28,0.001,0.028,18.72,1.56,0.006,3.51,0.05,0.19,0.01,0.02,0.09,0
0.08,13.48,0.07,1.23,0.06,0.07,0.09,0.09,1.45,0.04,0.13,0.007,0.074,16.31,1.54,0.008,1.34,0.08,1.56,0.09,0.06,0,0
0.09,10.87,0.05,2.88,0.07,0.08,0.07,0.09,0.41,0.24,0.61,0.61,0.127,15.88,1.77,0.006,4.78,0.09,0.86,0.07,0.06,0.03,0
0.01,1.76,0.09,0.07,0.05,0.1,0.09,0.01,1,1.33,0.49,0.001,0.031,12.3,1.87,0.009,0.95,0.01,1.66,0.09,0.1,0.03,0
0.03,2.3,0.01,0.39,0.04,0.03,0.07,0.04,0.46,1.31,0.64,0.64,0.093,13.37,1.16,0.004,3.53,0.03,0.74,0.07,0.03,0.03,0
0.04,3.29,0,2.73,0.01,0.09,0.02,0.06,1.18,1.41,0.63,0.63,0.128,8.99,1.43,0.01,5.71,0.04,0.64,0.02,0.04,0.06,0
0.05,24.34,0.07,0.27,0.04,0.06,0.01,0.01,1.27,1.25,0.75,0.75,0.076,7.49,1.32,0.008,4.92,0.05,0.83,0.01,0.02,0.08,0
0.07,14.41,0.02,0.31,0.04,0.37,0.09,0.09,0,0.38,0.04,0.007,0.166,0.34,1.35,0.01,0.61,0.07,1.01,0.09,0.07,0.01,0
0.03,2.52,0.09,0.86,0.02,0.55,0.05,0.01,0.1,0.46,0.22,0.001,0.165,5.52,1.89,0.002,12.78,0.03,0.45,0.05,0.05,0.06,0
0.01,14.05,0.06,0.94,0.03,0.07,0.02,0.09,1.23,1.01,0.6,0.6,0.04,11.89,1.73,0.007,9.75,0.01,3.62,0.02,0.04,0.01,0
0.04,10.12,0.07,1.43,0.02,0.23,0.03,0.05,0.82,0.57,0.82,0.82,0.023,2.96,1.55,0.007,0.19,0.04,0.86,0.03,0.02,0.06,0
0.1,15.37,0.09,1.41,0,0.02,0.03,0.01,0.67,0.08,0.61,0.61,0.123,3.28,1.72,0,0.5,0.1,0.09,0.03,0.04,0.01,0
0.07,20.32,0.03,1.3,0.07,0.01,0.06,0.08,1.56,0.63,0.45,0.006,0.142,6.29,1.62,0.007,4.82,0.07,0.58,0.06,0.09,0.01,0
0.03,3.36,0.08,1.58,0.07,0.07,0.05,0.06,1.15,1.03,0.4,0.001,0.145,5.04,1.14,0.002,1.86,0.03,0.13,0.05,0.08,0.03,0
0.08,9.87,0.04,0.55,0.04,0.01,0.09,0.07,1.76,0.65,0.92,0.92,0.105,2.84,1.11,0.008,8.26,0.08,0.4,0.09,0.06,0.07,0
0.07,22.23,0.06,0.55,0.02,0.24,0.09,0.08,1.76,0.69,0.22,0.002,0.054,10.51,1.19,0.007,0.17,0.07,4.4,0.09,0.09,0.04,0
0.09,10.98,0.06,0.22,0,0.36,0.05,0.02,1.69,0.39,0.05,0.004,0.125,2.31,1.22,0.003,0.56,0.09,0.14,0.05,0.07,0.02,0
0.09,24.14,0.05,2.2,0.02,0.18,0.05,0.05,0.13,0.84,0.65,0.65,0.168,18.82,1,0,12.14,0.09,0.16,0.05,0.04,0,0
0.03,14.09,0.01,0.96,0.06,0.17,0.06,0.04,0.63,0.7,0.08,0.001,0.144,8.95,1.2,0.005,7.23,0.03,4.47,0.06,0.06,0.02,0
0.08,24.62,0,0.21,0.02,0.42,0.03,0.01,1.56,1.02,0.04,0.001,0.075,1.79,1.77,0,7.12,0.08,0.61,0.03,0.02,0.06,0
0.08,28.68,0.06,0.04,0.08,0.09,0.08,0.02,1.8,0.55,0.26,0.006,0.097,14.75,1.63,0.004,0.49,0.08,0.65,0.08,0.04,0.07,0
0.01,0.29,0.07,0.89,0.03,0.05,0.03,0,0.24,0.05,0.35,0.002,0.102,15.03,1.57,0.007,4.8,0.01,2.35,0.03,0.06,0.03,0
0.05,10.72,0,1.87,0.07,0.12,0.02,0.05,1.21,0.75,0.38,0.007,0.008,14.25,1.23,0.004,3.1,0.05,0.64,0.02,0.05,0.09,0
0.06,28.3,0.09,0.79,0.09,0.42,0.07,0.09,1.33,1.29,0.43,0.006,0.108,9.01,1.84,0.004,2.24,0.06,1.76,0.07,0.07,0.01,0
0.07,17.69,0.1,0.23,0.05,0.02,0,0.03,0.93,0.94,0.92,0.92,0.011,0.42,1.77,0.004,2.39,0.07,0.15,0,0.04,0.07,0
0.04,22.84,0.02,0.8,0.01,0.12,0.07,0.02,1.19,0.52,0.49,0.003,0.057,13.75,1.41,0.005,6.45,0.04,0.44,0.07,0.03,0.08,0
0.09,11.63,0.1,0,0.06,0.2,0,0.06,1.63,0.27,0.62,0.62,0.166,0.02,1.03,0.003,2.54,0.09,0.15,0,0.09,0.05,0
0.08,21.93,0.09,0.35,0.05,0.01,0.07,0.06,0.1,1.07,0.22,0.004,0.089,16.23,1.73,0.01,10.67,0.08,1.25,0.07,0.05,0,0
0.06,9.59,0.1,2.41,0.02,0.13,0.1,0.04,1.15,1.49,0.11,0.001,0.087,15.79,1.91,0.006,3.86,0.06,1.64,0.1,0.1,0.07,0
0.06,11.6,0.02,0.07,0.05,0.02,0.07,0.04,1.17,0.82,0.62,0.62,0.177,14.8,1.03,0.001,0.03,0.06,5.88,0.07,0.03,0.07,0
0.04,6.59,0.05,0.88,0.03,0.18,0.08,0.05,0.55,1.14,0.26,0.006,0.18,15.86,1.83,0.01,6.3,0.04,0.35,0.08,0.06,0.01,0
0.06,9.64,0.09,2.36,0.07,0.05,0.03,0.01,1.53,1.17,0.43,0.007,0.091,14.04,1,0.009,11.97,0.06,0.07,0.03,0.04,0.04,0
0.05,0.11,0.1,0.44,0.05,0.07,0.02,0.01,1.4,0.44,0.07,0.007,0.15,10.3,1.17,0.005,14.05,0.05,2.11,0.02,0.04,0.08,0
0.02,2.65,0.06,0.89,0.04,0.39,0.09,0.04,0.96,0.02,0.63,0.63,0.042,11.36,1.96,0.009,4.06,0.02,5.56,0.09,0.07,0.04,0
0.03,22.88,0.01,0.16,0.01,0.11,0,0,1.82,0.02,0.22,0.008,0.017,13.82,1.73,0.001,0.56,0.03,0.35,0,0.1,0.06,0
0.09,28.93,0.04,0.84,0.09,0.23,0.03,0.04,0.84,0.62,0.8,0.8,0.093,10.81,1.5,0.004,2.08,0.09,0.03,0.03,0.04,0.02,0
0.07,6.36,0.04,0.43,0.09,0.1,0.01,0.02,1.78,0.33,0.22,0,0.061,1.87,1.37,0.01,3.33,0.07,3.87,0.01,0.05,0.02,0
0.08,21.95,0.04,0.5,0.02,0.2,0.1,0.06,1.54,0.47,0.67,0.67,0.042,0.61,1.29,0.008,7.65,0.08,0.4,0.1,0.08,0.08,0
0.1,11.15,0.03,2.1,0.04,0.14,0.08,0.04,1.35,1.33,0.21,0.007,0.151,9.42,1.95,0.009,0.52,0.1,1.27,0.08,0.02,0.01,0
0.06,7.86,0.04,0.6,0.07,0.08,0.04,0.02,1.22,0.78,0.46,0.007,0.082,17.53,1.51,0.006,11.15,0.06,4.09,0.04,0.01,0.01,0
0.08,13.29,0.05,0.4,0.07,0.1,0.07,0.1,1.67,0.62,0.02,0.004,0.09,13.71,1.89,0.008,2.5,0.08,0.07,0.07,0.03,0.06,0
0.04,16.36,0.05,0.14,0.07,0.09,0,0.07,1.64,1.43,0.16,0.009,0.075,13.81,1.03,0.002,0.16,0.04,0.96,0,0.06,0.02,0
0.03,23.58,0.04,0.57,0.09,0.05,0.09,0.06,1.56,0.21,0.73,0.73,0.111,4.39,1.83,0.001,6.21,0.03,3.81,0.09,0.1,0.04,0
0,14.75,0.09,0.34,0.1,0.17,0.01,0.01,0.69,1.06,0.89,0.89,0.061,1.6,1.27,0,3.76,0,4.03,0.01,0.01,0.06,0
0.03,28.13,0.04,0.68,0.07,0.03,0.02,0,1.12,0.53,0.14,0.008,0.159,14.47,1.91,0.006,4.33,0.03,0.27,0.02,0.06,0.03,0
0,3.98,0.04,0.5,0.09,0.16,0,0.09,1.69,0.11,0.47,0.008,0.058,8.1,1.77,0.001,4.36,0,0.39,0,0.03,0.09,0
0.08,29.36,0.04,0.31,0.08,0.09,0.07,0.04,1.05,0.81,0.25,0.005,0.066,4.62,1.42,0,0.04,0.08,0.19,0.07,0.01,0.02,0
0.07,0.33,0.02,1.57,0,0.03,0.09,0,0.31,1.3,0.37,0.001,0.154,15.46,1.58,0.007,5.8,0.07,2.09,0.09,0.06,0.04,0
0.05,23.58,0.05,0.11,0.05,0.06,0.05,0.08,1.14,1.16,0.85,0.85,0.114,0.74,1.43,0.005,2.63,0.05,3.75,0.05,0.07,0.06,0
0.01,26.78,0,0.03,0.05,0.02,0.01,0.05,1.62,0.96,0.45,0,0.138,5.66,1.93,0,2.4,0.01,0.04,0.01,0.09,0.06,0
0.06,17.47,0.08,0.16,0.08,0.67,0.05,0.09,1.85,0.44,0.18,0,0.047,13.88,1.38,0.002,0.2,0.06,0.37,0.05,0.08,0,0
0.05,28.12,0.07,2.39,0.02,0.35,0.07,0.03,0.2,0.58,0.8,0.8,0.112,11.7,1.58,0.007,0.26,0.05,0.13,0.07,0.09,0.09,0
0.02,15.11,0.01,0.41,0.03,0.08,0.03,0,0.31,0.74,0.13,0.001,0.016,14.29,1.31,0.005,5.48,0.02,0.57,0.03,0.05,0.05,0
0.04,9.03,0.05,0.01,0.09,0.24,0,0.08,1.37,0.71,0.99,0.99,0.112,11.47,1.33,0.001,2.13,0.04,0.75,0,0.02,0.06,0
0.1,25.26,0.05,0.86,0.06,0.29,0.06,0.03,0.66,0.49,0.22,0.006,0.151,14.25,1.37,0.003,1.55,0.1,0.81,0.06,0.06,0.05,0
0.01,14.68,0.07,0.29,0.06,0.14,0.05,0.02,1.47,0.15,0.37,0.002,0.085,18.95,1.92,0.001,1.02,0.01,0.16,0.05,0.08,0.07,0
0.02,28.33,0,2.93,0.07,0.09,0.09,0.02,1.47,1.37,0.31,0.002,0.197,13.53,1.09,0.005,1.23,0.02,0.48,0.09,0.06,0.03,0
0.04,26.57,0.03,2.47,0.07,0.01,0.09,0.01,1.97,1.48,0.34,0.009,0.031,9.52,1.43,0.001,0.19,0.04,0.87,0.09,0.03,0.08,0
0.05,25.3,0.07,0.78,0.09,0.17,0.08,0.09,0.71,0.91,0.66,0.66,0.182,15.37,1.9,0.006,0.59,0.05,1.56,0.08,0.07,0.05,0
0.09,7.45,0.02,0.25,0.02,0.28,0.05,0,1.18,0.03,0.28,0,0.069,0.46,1.65,0.004,5.28,0.09,0.72,0.05,0.01,0.04,0
0.08,21.31,0.07,1.7,0.02,0.22,0.02,0.06,1.49,0.65,0.63,0.63,0.16,13.24,1.21,0.003,6.6,0.08,0.19,0.02,0.09,0.01,0
0.03,8.13,0.04,1.11,0.08,0.02,0.08,0.05,0.17,0.05,0.2,0,0.054,16.88,1.38,0.007,1.07,0.03,4.68,0.08,0.06,0.02,0
0.02,20.66,0.08,1.72,0.06,0.48,0.08,0.02,0.66,0.9,0.65,0.65,0.1,2.59,2.39,0.003,8.2,0.02,0.42,0.08,0.06,0.05,0
0.1,13.23,0.01,0.25,0.08,0.05,0.07,0.03,0.02,0.99,0.05,0.003,0.078,15.13,1.27,0.006,0.04,0.1,1.3,0.07,0.07,0.01,0
0.01,10.39,0.04,0.27,0.1,0.59,0.02,0.02,1.66,1.08,0.71,0.71,0.016,1.75,1.43,0.004,1.64,0.01,0.19,0.02,0.04,0.05,0
0,23.32,0.06,0.89,0.08,0.01,0.02,0.04,0.57,0.61,0.13,0.001,0.117,6.89,1.3,0.003,5.81,0,0.38,0.02,0.09,0.02,0
0.04,13.46,0,1.89,0.06,0.08,0.08,0.02,1.38,0.11,0.67,0.67,0.135,10.32,2.06,0.006,2.87,0.04,1.44,0.08,0.01,0.02,0
0.05,4.97,0.09,0.45,0.03,0.07,0.1,0.03,1.88,0.33,0.13,0.007,0.021,18.78,1.8,0.007,8.09,0.05,1.32,0.1,0.03,0.08,0
0.07,18.96,0.1,0.87,0.04,0.3,0.08,0.09,1.86,0.86,0.16,0.005,0.197,14.35,2.18,0.001,4.92,0.07,2.4,0.08,0.01,0.07,0
0.05,23.78,0.1,0.9,0.08,0,0.08,0.06,1.45,0.98,0.35,0.002,0.167,15.55,2.3,0.004,0.3,0.05,0.7,0.08,0.05,0.08,0
0.01,16.36,0.03,0.64,0.06,0.1,0.03,0.02,0.82,1.24,0.83,0.83,0.109,4.87,1.53,0.01,0.97,0.01,0.55,0.03,0.04,0.01,0
0.06,3.08,0.05,0.43,0.05,0.36,0.05,0.06,0.6,1.29,0.04,0.008,0.145,9.16,1.42,0.006,1.5,0.06,4.76,0.05,0.05,0.06,0
0.01,21.37,0.04,0.22,0.09,0.01,0.08,0.07,0.17,0.58,0.52,0.52,0.011,19.09,1.67,0.009,4.97,0.01,0.83,0.08,0.03,0.08,0
0.01,18.21,0.02,1.34,0.07,0.03,0.03,0.07,1,0.09,0.91,0.91,0.103,5.3,2.14,0.006,3.99,0.01,0.35,0.03,0.04,0.05,0
0.01,23.29,0.02,2.7,0.05,0.06,0.09,0.07,1.35,1.07,0.7,0.7,0.101,1.98,1.33,0.008,2.76,0.01,0.03,0.09,0.01,0.03,0
0.09,18.24,0.05,3.88,0.06,0.45,0.1,0.06,0.79,0.54,0.2,0.009,0.126,17.99,2.26,0.009,0.44,0.09,0.77,0.1,0.01,0.02,0
0.04,2.18,0.02,0.77,0.01,0.02,0.01,0.07,1.54,0.62,0.23,0.001,0.017,2.92,1.2,0.007,0.48,0.04,0.99,0.01,0.08,0.03,0
0.07,15.49,0.03,0.4,0.07,0.03,0.06,0.02,1.08,1.43,0.89,0.89,0.08,2.14,1.22,0.008,0.69,0.07,3.1,0.06,0,0.08,0
0,16.28,0.02,0.19,0.09,0.12,0.1,0.02,1.15,0.34,0.85,0.85,0.065,18.31,1.54,0.003,2.33,0,0.03,0.1,0.08,0.01,0
0.05,26.81,0.02,0.93,0.01,0,0,0,0.71,0.99,0.75,0.75,0.071,1.09,1.41,0.002,4.81,0.05,0.12,0,0.07,0.05,0
0.07,17.38,0.04,2.44,0.01,0.09,0.1,0.08,1.82,0.22,0.99,0.99,0.108,8.73,1.82,0.005,5.25,0.07,0.8,0.1,0.04,0.07,0
0.01,18.47,0.09,0.7,0.07,0.35,0.03,0.04,1.18,1,0.92,0.92,0.086,10.17,1.64,0.007,0.63,0.01,1.51,0.03,0.02,0.08,0
0.04,7.34,0.07,0.76,0.08,0.01,0.03,0.03,1.51,1.46,0.58,0.58,0.061,9.91,1.69,0.004,3.74,0.04,0.37,0.03,0,0.06,0
0.02,9.93,0.05,0.25,0.08,0.27,0.02,0.02,1.77,0.43,0.8,0.8,0.114,13.01,1.37,0.008,2.03,0.02,0.78,0.02,0.07,0.06,0
0.03,19.58,0.04,1.31,0.01,0.63,0.07,0.01,1.23,1.44,0.56,0.56,0.012,10.28,2.71,0.004,5.95,0.03,0.81,0.07,0.07,0.08,0
0.04,25.97,0.04,0.42,0.08,0.38,0.06,0.07,1.34,0.29,0.96,0.96,0.167,15.65,2.02,0.002,4.55,0.04,2.7,0.06,0.08,0.06,0
0.07,21.9,0.06,0.21,0,0.03,0.04,0.08,1.05,1,0.25,0.007,0.109,2.74,1.15,0.001,6.28,0.07,0.97,0.04,0.07,0.05,0
0.1,6.4,0.03,0.7,0.07,0.1,0.08,0.04,1.09,1.35,0.16,0.002,0.031,17.26,1.87,0.007,5.72,0.1,0.11,0.08,0.1,0.08,0
0.03,1.35,0.1,0.22,0,0.07,0.04,0.09,0.27,0.53,0.44,0.002,0.11,14.71,1.7,0.009,1.05,0.03,2.38,0.04,0.08,0,0
0.06,14.89,0.05,0.14,0.02,0.34,0.01,0.09,1.57,0.26,0.69,0.69,0.182,1.75,1.95,0.008,5.98,0.06,0.82,0.01,0.03,0.05,0
0.08,25.25,0.03,0.84,0.03,0.24,0.03,0.05,0.46,1.41,0.08,0.006,0.049,9.99,1.47,0.006,2.42,0.08,3.14,0.03,0.04,0,0
0.03,22.31,0.1,1.59,0.06,0.13,0.06,0.07,1.53,0.87,0.13,0.008,0.079,9,1.39,0.007,3.54,0.03,2.32,0.06,0.1,0.05,0
0.05,5.52,0.08,0.54,0.02,0.05,0.02,0.07,1.03,0.51,0.77,0.77,0.012,1.59,1.78,0.008,0.37,0.05,1.13,0.02,0.01,0.04,0
0.03,25.82,0.07,2.53,0.08,0.24,0.05,0.01,1.56,0.91,0.38,0.005,0.013,11.39,1.13,0.006,5.8,0.03,4,0.05,0.02,0.08,0
0.07,14.96,0.01,0.4,0.08,0.23,0.09,0.01,1.35,1.24,0.12,0.006,0.193,17.58,1.42,0.001,9.55,0.07,0.51,0.09,0.04,0.05,0
0.03,28.73,0.1,0.91,0,0.19,0.09,0.03,1.09,0,0.8,0.8,0.091,18.27,1.93,0.001,8.48,0.03,0.85,0.09,0.09,0,0
0.08,3.55,0.1,1.65,0.01,0.16,0.04,0.04,0.9,0.55,0.3,0.002,0.135,5.41,1.89,0.004,5.24,0.08,0.12,0.04,0.02,0.04,0
0.08,22.28,0.04,0.52,0.01,0.14,0.08,0.05,1.85,1.24,0.75,0.75,0.124,2.13,1.17,0.008,0.05,0.08,0.9,0.08,0.02,0.06,0
0.09,26.72,0.03,0.02,0.05,0.06,0.04,0.02,0.91,0.42,0.44,0.006,0.107,13.52,2.02,0.009,11.16,0.09,0.26,0.04,0.04,0,0
0.05,12.98,0.03,0.14,0.01,0.05,0.1,0.05,1.88,0.4,0.13,0.004,0.085,12.28,1.59,0.008,1.2,0.05,1.96,0.1,0.02,0.05,0
0.05,18.9,0.03,1.4,0.01,0.02,0.09,0.05,0.08,0.34,0.26,0.003,0.146,8.63,1.92,0.006,9.12,0.05,0.92,0.09,0.01,0.05,0
0.06,9.02,0.06,3.44,0.05,0.08,0.09,0.1,0.22,0.68,0.63,0.63,0.162,12.35,2.04,0.005,0.47,0.06,0.91,0.09,0.01,0.06,0
0.07,21.52,0.1,0.35,0,0.07,0.07,0.08,0.29,0.51,0.86,0.86,0.048,1.96,1.68,0.005,3.83,0.07,2.91,0.07,0.02,0.07,0
0.03,0.87,0.09,0.96,0.05,0.04,0.02,0.03,1.92,1.2,0.32,0.003,0.082,19.35,2.18,0.008,4.48,0.03,0.36,0.02,0.07,0.08,0
0.08,19.36,0.05,0.74,0.03,0.3,0.01,0.09,1.29,1.04,0.49,0.001,0.079,15.58,1.26,0.005,2.22,0.08,0.71,0.01,0.01,0.03,0
0.03,7.29,0.03,0.65,0.03,0.07,0.04,0.1,1.14,0.36,0.13,0.008,0.071,19.01,1.34,0.004,1.45,0.03,0.25,0.04,0.07,0.02,0
0.1,0.41,0.01,0.03,0.01,0.38,0.07,0.08,1.71,1.42,0.27,0.002,0.103,16.9,1.36,0.006,10.49,0.1,0.57,0.07,0.06,0,0
0.04,14.93,0.07,1.38,0.02,0.08,0.05,0.05,1.59,1.04,0.08,0.007,0.141,6.71,1.45,0.006,0.91,0.04,0.36,0.05,0.09,0.08,0
0.04,5.31,0.04,1.52,0.04,0.39,0.06,0.04,0.3,0.52,0.38,0.002,0.131,8.51,1.55,0.005,1.94,0.04,2.43,0.06,0.1,0.05,0
0.02,7.19,0.03,0.41,0.07,0.09,0.08,0.02,0.54,0.14,0.27,0.004,0.069,8.55,2.11,0.007,1.97,0.02,1.97,0.08,0.03,0.09,0
0.05,0.33,0.04,2.22,0.02,0.02,0.09,0,1.79,0.89,0.67,0.67,0.136,14.72,2.17,0.006,4.24,0.05,0.5,0.09,0.09,0.01,0
0.05,13.54,0.02,2.45,0.09,0.06,0.07,0.04,0.54,1.33,0.05,0.001,0.166,12.36,1.28,0.006,1.82,0.05,0.03,0.07,0,0.08,0
